"number";"team";"matches";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Bayern Munich";10;34;9;26;28.82;26.54;12.33;10.82;15.72;10.45;20.6;119;46;23.46
2;"Hoffenheim";10;19;10;21;14.94;13.42;15.37;15.37;-1.95;9.14;13.6;68;56;13.44
3;"Borussia Dortmund";10;19;11;19;17.33;15.82;11.34;9.83;5.99;12.22;11.66;84;46;17.99
4;"VfB Stuttgart";10;23;15;16;18.41;16.89;13.6;10.57;6.33;9.38;16.69;88;65;16.99
5;"Bayer Leverkusen";9;18;16;16;16.65;15.14;16.65;15.14;0;15.1;13.88;75;70;12.06
6;"RasenBallsport Leipzig";10;15;14;15;15.76;15;14.08;13.32;1.67;11.9;13.4;76;67;15.66
7;"Eintracht Frankfurt";11;24;28;14;14.81;14.81;20.73;18.46;-3.65;10.12;13.68;64;68;12.01
8;"Borussia M.Gladbach";10;12;13;12;14.75;13.99;14.95;14.19;-0.2;15.06;11.11;73;96;13.87
9;"Union Berlin";10;10;17;11;13.64;12.88;14.52;13.01;-0.12;17.51;11.46;52;66;13.31
10;"Wolfsburg";10;12;21;10;14;13.25;19.49;16.39;-3.14;12.98;12.97;38;72;11.12
11;"FC Cologne";10;11;17;9;15.01;14.25;21.43;19.16;-4.91;17.49;13.98;57;78;9.92
12;"Mainz 05";10;13;20;9;13.41;11.14;23.59;22.83;-11.69;13.48;8.78;57;82;9.88
13;"Freiburg";11;13;22;9;12.35;10.83;21.25;20.49;-9.67;13.26;11.78;55;93;10.91
14;"Augsburg";9;10;18;7;10.01;9.25;18.18;15;-5.74;13.91;8.43;42;82;6.84
15;"Werder Bremen";10;10;20;6;9.8;9.04;24.33;23.57;-14.53;14.62;11.33;65;97;5.93
16;"St. Pauli";11;9;18;5;10.73;9.97;22.16;19.81;-9.85;19.37;14.22;48;72;7.5
17;"FC Heidenheim";10;9;23;4;12.55;12.55;23.17;21.66;-9.11;16.26;10.68;59;96;8.11
18;"Hamburger SV";9;4;18;3;8.59;7.83;17.98;15.71;-7.88;17.18;12.66;45;76;6.73
