"number";"team";"matches";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Borussia Dortmund";5;15;5;15;12.48;9.44;8.27;8.27;1.18;10.02;14.63;54;22;9.63
2;"Hoffenheim";6;13;7;15;10.39;9.63;11.88;10.37;-0.73;9.71;12.56;44;51;8.7
3;"Bayern Munich";5;16;6;10;17.5;15.23;10.21;9.45;5.78;9.03;19.67;63;32;10.71
4;"Bayer Leverkusen";5;9;3;10;8.32;8.32;5.55;5.55;2.77;14.32;16.07;33;35;8.7
5;"VfB Stuttgart";5;9;4;10;11.35;11.35;6.84;5.32;6.03;9.56;14.41;47;28;9.73
6;"Augsburg";5;7;6;10;7.59;6.83;10.49;8.22;-1.39;18.51;8.92;23;46;5.15
7;"Hamburger SV";5;7;4;9;7.99;7.24;6.41;5.66;1.58;12.9;13.69;41;31;7.98
8;"Mainz 05";5;8;8;9;13.51;9.72;8.77;8.77;0.95;14.6;11.01;25;35;9.49
9;"RasenBallsport Leipzig";6;10;11;8;14.67;14.67;11.36;9.84;4.83;11.29;14.69;67;28;10.81
10;"Freiburg";5;5;7;7;6.2;5.45;8.65;8.65;-3.21;12.21;8.52;20;55;5.32
11;"FC Cologne";5;6;8;6;7.79;7.79;11.44;10.69;-2.89;11.04;10.11;36;30;4.73
12;"Eintracht Frankfurt";5;9;10;5;5.64;5.64;7.56;6.8;-1.16;12.2;11.88;24;36;5.13
13;"St. Pauli";6;6;11;5;7.38;5.11;10.23;9.47;-4.37;18.63;13;27;42;6.36
14;"Borussia M.Gladbach";5;2;8;3;4.87;4.11;7.71;7.71;-3.6;15.96;10.24;24;49;4.92
15;"Wolfsburg";5;5;9;2;6.23;6.23;10.99;9.47;-3.24;10.19;13.08;27;49;4.66
16;"Union Berlin";5;5;11;2;7.57;6.06;8.48;6.96;-0.91;12.32;10.01;27;27;6.48
17;"Werder Bremen";6;4;11;2;7.1;7.1;7.79;7.03;0.06;9.63;14.03;79;34;8.03
18;"FC Heidenheim";5;3;10;1;6.77;6.77;10.72;8.45;-1.68;16.82;8.48;25;56;4
