"number";"team";"matches";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Borussia Dortmund";11;26;8;29;22.55;19.52;12.89;12.89;6.63;11.92;16.28;121;48;21.61
2;"Bayern Munich";11;45;10;28;38.35;34.56;10.23;10.23;24.33;8.67;23.67;151;45;29.7
3;"VfB Stuttgart";11;17;12;26;22.38;20.87;15.35;13.84;7.03;10.6;12.07;83;56;20.77
4;"Hoffenheim";11;27;13;24;22.28;20.77;14.45;12.18;8.59;8.01;15.99;95;48;19.97
5;"Bayer Leverkusen";11;24;10;22;25.18;23.66;10.01;9.25;14.41;12.88;18.7;73;52;24.5
6;"RasenBallsport Leipzig";11;25;15;22;28.27;27.51;16.74;15.99;11.53;16.54;13.22;122;77;21.94
7;"Freiburg";10;19;11;21;19.14;16.11;10.7;10.7;5.41;11.39;12.3;62;51;18.24
8;"Hamburger SV";11;18;13;19;18.55;16.96;15.63;14.87;2.08;13.23;10.24;64;78;17.08
9;"Augsburg";12;15;19;18;15.53;14.77;21.25;20.49;-5.72;13.98;10.23;54;105;13.93
10;"Eintracht Frankfurt";11;20;18;17;18.61;16.33;14.44;14.44;1.89;12.48;14.86;80;69;17.99
11;"FC Cologne";11;19;17;14;16.97;16.97;17.95;16.43;0.54;14.62;13.64;63;59;14.16
12;"Union Berlin";11;16;17;14;17.39;15.88;14.54;12.27;3.6;14.19;8.9;53;71;17.48
13;"Werder Bremen";11;12;21;13;15.66;14.15;14.62;12.35;1.8;12.75;12.89;99;74;16.06
14;"Mainz 05";11;12;13;12;21.3;17.51;17.58;16.82;0.69;10.04;11.62;93;80;17.59
15;"St. Pauli";10;11;17;12;10.79;7.6;15.34;14.58;-6.98;15.78;13.93;66;67;10.87
16;"Borussia M.Gladbach";11;13;21;10;15.01;11.22;20.68;19.16;-7.94;16.75;12.21;77;90;11.67
17;"Wolfsburg";11;17;23;9;16.01;15.17;20.46;17.43;-2.26;12.71;13.53;63;100;12.14
18;"FC Heidenheim";11;10;24;9;15.48;15.48;22.48;20.96;-5.48;17.87;11.37;53;123;11.31
