"number";"team";"matches";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Bayern Munich";22;82;19;57;69.04;62.22;23.35;21.83;40.39;9.48;21.48;282;99;55.42
2;"Borussia Dortmund";22;47;20;51;41.59;37.05;26.27;24.75;12.3;11.91;13.78;221;102;40.74
3;"Hoffenheim";22;47;28;45;39.89;36.86;36.2;32.41;4.45;8.65;14.3;168;120;33.52
4;"VfB Stuttgart";22;41;29;42;41.7;38.67;30.61;25.31;13.36;9.96;14.45;177;129;38.51
5;"RasenBallsport Leipzig";22;42;30;40;47.08;45.57;31.95;30.43;15.14;13.69;13.11;206;150;40.17
6;"Bayer Leverkusen";21;43;27;39;42.57;39.54;27.44;25.17;14.37;13.81;16.49;155;128;37.81
7;"Eintracht Frankfurt";22;44;46;31;33.42;31.14;35.18;32.9;-1.76;11.29;14.25;144;137;30
8;"Freiburg";22;32;36;30;32.23;27.68;33.85;33.09;-5.41;12.71;11.89;121;160;29.69
9;"Hamburger SV";21;24;31;25;28.68;26.34;34.66;31.63;-5.29;14.76;11.3;120;160;25.59
10;"Union Berlin";22;28;37;25;33.22;30.19;31.27;27.48;2.71;15.53;10.13;113;146;32.19
11;"Augsburg";22;25;39;25;26.9;25.39;42.44;36.98;-11.59;13.74;9.63;100;196;21.16
12;"FC Cologne";22;31;37;23;33.11;32.35;41.94;38.16;-5.8;15.65;13.68;126;148;24.56
13;"Borussia M.Gladbach";22;25;37;22;30.79;26.25;37.61;35.34;-9.09;15.62;11.65;159;190;26.25
14;"Mainz 05";22;25;37;21;36.39;30.33;42.98;41.46;-11.14;11.95;10.44;152;167;28.77
15;"Wolfsburg";22;31;46;20;30.7;29.11;42.47;36.33;-7.23;13.06;13.22;106;189;23.57
16;"Werder Bremen";22;22;42;19;26.58;24.31;39.31;36.28;-11.97;13.02;12.21;180;173;24.07
17;"St. Pauli";22;20;39;17;22.17;18.22;39.77;36.66;-18.44;17.91;14.04;116;147;18.69
18;"FC Heidenheim";22;19;48;13;28.73;28.73;47.52;43.74;-15.01;16.73;11.21;119;224;19.85
