"number";"team";"matches";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Barcelona";12;29;18;25;36.52;32.8;22.46;19.49;13.32;6.83;15.08;164;58;23.13
2;"Real Madrid";11;22;11;24;24.43;22.2;15.94;14.46;7.75;10.45;13.08;104;74;20.76
3;"Celta Vigo";11;13;10;19;13.98;12.5;15.73;11.9;0.59;13.37;12.16;68;62;14.96
4;"Villarreal";10;16;14;17;15.45;13.96;15.04;14.3;-0.33;16.7;7.98;55;65;14.92
5;"Espanyol";10;12;11;15;14.91;14.16;14.58;13.84;0.33;11.28;8.43;45;57;13.14
6;"Atletico Madrid";11;12;10;14;12.78;12.03;14.87;13.38;-1.35;11.48;12.83;86;65;13.79
7;"Real Betis";11;14;16;13;15.86;15.86;16.52;15.78;0.09;12.31;12.59;87;59;14.82
8;"Girona";11;11;18;12;13.03;10.06;18.84;17.36;-7.3;13.8;9.69;61;84;11.43
9;"Levante";11;13;14;11;16.42;16.42;18.03;16.44;-0.02;13.83;9.33;58;80;12.92
10;"Real Sociedad";11;12;14;11;14.48;13.74;14.64;13.15;0.59;9.33;12.25;63;74;15.95
11;"Sevilla";11;13;20;11;12.31;11.56;23.05;18.59;-7.02;9.26;9.98;64;77;8.67
12;"Getafe";11;8;18;11;9.51;8.76;14.39;14.39;-5.63;11.85;6.82;29;54;12.57
13;"Rayo Vallecano";12;10;21;10;15.39;14.65;23.21;20.24;-5.59;9.94;12.94;50;92;11.96
14;"Osasuna";12;8;15;8;11.63;10.89;18.68;15.7;-4.82;13.8;9.58;60;103;11.28
15;"Athletic Club";11;10;19;8;15.81;15.07;18.17;15.7;-0.63;10.49;9.9;76;60;13.24
16;"Alaves";11;6;16;7;12.92;12.92;16.7;15.96;-3.04;10.35;8.55;32;67;12.11
17;"Valencia";11;8;24;6;11.15;9.66;22.39;19.3;-9.64;15.02;9.16;46;81;8.79
18;"Mallorca";11;10;20;5;9.77;9.03;23.03;20.8;-11.78;15.48;8.7;26;84;6.16
19;"Real Oviedo";11;8;23;5;12.14;10.65;22.68;20.45;-9.8;12.29;9.06;39;89;8.36
20;"Elche";10;10;19;4;6.11;6.11;19.77;18.29;-12.18;8.95;9.82;37;62;5.66
