"number";"team";"matches";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Real Madrid";5;13;2;15;13.48;10.51;5.3;5.3;5.21;11.66;15.68;66;37;12.01
2;"Osasuna";7;14;8;14;11.03;10.28;8.23;6.75;3.54;10.97;9.36;34;42;11.7
3;"Barcelona";5;11;3;12;19.85;19.1;6.85;6.85;12.26;5.97;15.14;76;20;12.57
4;"Real Sociedad";6;10;6;12;9.89;9.15;9.28;8.54;0.62;9.17;9.07;33;41;9.6
5;"Atletico Madrid";5;8;1;11;6.45;6.45;4.81;4.81;1.64;9.75;14.49;47;17;8.11
6;"Celta Vigo";7;10;6;11;11.09;8.12;7.55;6.06;2.06;14.56;12.72;40;36;12.14
7;"Real Betis";6;11;9;10;12.45;11.7;10;8.52;3.19;9.26;12.01;41;31;10.01
8;"Girona";6;6;6;10;7.06;4.83;7.61;6.87;-2.04;9.06;12.81;37;36;7.57
9;"Levante";6;8;6;9;8.5;7.75;8.68;7.1;0.65;13.3;8.58;27;45;7.67
10;"Valencia";6;8;10;8;11.4;8.42;7.55;6.06;2.36;10.67;10.35;38;31;11.1
11;"Mallorca";6;10;11;7;9.27;6.05;10.62;9.13;-3.08;12.25;9.17;20;45;7.08
12;"Villarreal";6;8;10;7;9.23;8.48;10.75;9.26;-0.78;15.12;7.25;35;49;7.02
13;"Alaves";6;6;10;7;7.33;7.33;11.76;11.01;-3.68;10.62;8.45;18;44;5.37
14;"Real Oviedo";6;5;8;6;7.86;7.86;10.17;10.17;-2.31;11.61;8.61;30;45;7.07
15;"Elche";6;11;12;5;8.39;8.39;18.68;17.19;-8.8;8.28;9.9;39;59;4.34
16;"Espanyol";6;6;11;4;8.52;8.52;11.76;9.53;-1.01;10.4;8.28;23;36;5.79
17;"Sevilla";6;5;13;4;8.61;6.29;14.17;11.94;-5.65;6.99;11.19;42;37;5.16
18;"Rayo Vallecano";6;5;14;4;6.92;6.18;10.96;9.48;-3.3;8.76;12.11;31;45;5.8
19;"Getafe";6;3;9;3;4.34;3.6;7.4;7.4;-3.8;12.48;6.55;17;29;6
20;"Athletic Club";5;6;9;2;8.37;8.37;7.91;5.44;2.93;8.55;10.3;47;16;7.24
