"number";"team";"matches";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Barcelona";11;34;5;33;30.19;29.44;9.76;9.76;19.69;7.28;16.5;134;34;27.5
2;"Real Madrid";12;29;8;33;33.3;25.76;11.71;10.97;14.79;10.3;18.02;136;60;30.04
3;"Atletico Madrid";12;26;8;31;27.5;26.02;10.88;10.88;15.14;10.03;17.32;129;36;27.2
4;"Villarreal";12;27;10;28;24.2;24.2;14.65;11.68;12.52;12.44;12.24;119;70;22.88
5;"Real Betis";11;22;12;22;22.04;20.55;14.47;12.24;8.32;10.83;12.2;80;56;19.96
6;"Osasuna";11;20;13;21;16.99;14.76;11.87;11.13;3.63;11.15;10.81;46;54;18.84
7;"Elche";13;20;13;21;22.7;21.96;25.07;23.59;-1.63;8.58;12.01;98;91;18.65
8;"Real Sociedad";12;21;17;20;21.25;19.02;17.93;17.19;1.84;9.04;11.18;79;82;19.43
9;"Athletic Club";12;15;14;20;19.49;17.26;9.99;9.99;7.27;9.34;12.72;86;31;23.01
10;"Espanyol";13;16;18;20;21.19;18.96;20.73;18.5;0.47;12.45;10.6;64;86;18.15
11;"Mallorca";12;19;16;19;18;14.04;16.95;15.46;-1.42;11.28;10.84;55;88;17.11
12;"Alaves";12;14;13;18;19.33;16.36;15.74;14.25;2.11;8.89;8.79;43;64;19.05
13;"Valencia";12;15;13;17;19.89;17.66;12.07;11.33;6.33;11.51;10.69;61;69;22.71
14;"Girona";12;12;19;16;16.03;14.54;25.29;22.32;-7.78;13.8;11.1;62;90;11.79
15;"Rayo Vallecano";11;11;9;15;18.69;17.94;12;11.26;6.68;8.27;13.53;60;54;19.91
16;"Getafe";12;10;10;15;9.46;8.72;12.46;11.72;-3;8.74;5.86;31;51;13.74
17;"Sevilla";13;18;19;15;15.12;12.05;21.15;18.92;-6.87;7.26;9.74;65;62;13.05
18;"Celta Vigo";12;17;15;14;16.97;13.99;17.25;15.02;-1.03;12.5;14.09;89;68;17.11
19;"Real Oviedo";12;5;13;11;11.01;11.01;18.24;17.5;-6.48;13.92;10.36;60;98;12.16
20;"Levante";12;11;23;7;17.08;14.74;23.62;22.87;-8.13;12.32;8.87;59;125;12.28
