"number";"team";"matches";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Real Madrid";24;53;19;60;58.78;49.01;28.22;25.99;23.01;10.34;15.39;250;139;52.57
2;"Barcelona";24;64;25;58;69.4;64.2;35.1;32.13;32.07;7.08;16.01;311;100;51.9
3;"Villarreal";24;45;26;48;43.02;41.53;32.08;27.62;13.91;13.69;9.6;191;144;40.99
4;"Atletico Madrid";24;38;21;45;41.03;38.8;28.5;27.02;11.79;10.69;14.76;219;105;41.18
5;"Real Betis";24;39;29;41;40.79;39.31;32.34;29.37;9.93;12.59;12.24;176;128;38.69
6;"Espanyol";24;29;33;35;36.85;33.87;36.85;33.87;0;11.93;9.67;114;149;32
7;"Celta Vigo";24;32;27;34;33.76;29.3;34.14;28.09;1.22;13.02;13.22;169;134;34.59
8;"Real Sociedad";24;34;35;31;37.39;33.68;35.62;31.91;1.77;9.42;11.86;148;163;35.89
9;"Athletic Club";24;27;34;31;36.51;32.8;29.02;26.55;6.24;9.78;11.15;164;92;37.92
10;"Osasuna";24;28;28;30;29.43;26.46;32.88;29.16;-2.7;12.24;9.96;112;170;30.49
11;"Getafe";24;20;28;29;20.75;18.52;29.87;29.12;-10.6;9.8;6.16;66;107;26.92
12;"Girona";24;24;38;29;31.66;26.46;45.09;40.63;-14.17;13.44;10.44;132;181;25.73
13;"Sevilla";24;31;39;26;27.42;23.61;44.2;37.51;-13.89;8.13;9.86;129;139;21.72
14;"Alaves";24;21;30;26;33.64;30.67;32.79;30.56;0.1;9.43;8.78;81;134;33.41
15;"Valencia";24;25;37;26;31.78;28.06;35.92;32.09;-4.03;13.08;10.02;109;155;32.24
16;"Elche";24;31;35;25;29.9;29.15;46.62;43.64;-14.49;8.71;11;142;157;25.15
17;"Rayo Vallecano";23;21;30;25;34.08;32.59;35.22;31.5;1.1;9.14;13.2;110;146;31.87
18;"Mallorca";24;29;39;24;28.78;24.08;42.46;38.74;-14.66;13.27;9.68;83;180;23.68
19;"Levante";24;26;41;18;34.12;31.78;44.42;42.09;-10.31;13.1;9.04;120;215;25.38
20;"Real Oviedo";23;13;36;16;23.15;21.67;40.92;37.95;-16.28;13.06;9.73;99;187;20.52
