"number";"team";"matches";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Paris Saint Germain";11;21;12;23;19.18;17.66;11;8.72;8.94;8.53;21.86;111;58;21.52
2;"Lens";10;16;12;19;17.89;17.13;15.3;11.97;5.16;10.18;10.96;63;48;15.24
3;"Marseille";10;19;11;16;19.73;18.97;13.48;11.96;7.01;10.82;21.34;70;49;17.49
4;"Lyon";10;16;13;15;15.3;13.78;15.1;14.34;-0.56;10.07;11.17;66;49;13.92
5;"Toulouse";9;12;8;14;10.15;7.87;13.31;11.79;-3.91;13.64;8.32;47;57;10.57
6;"Lille";10;17;18;13;14.5;14.5;15.04;12.61;1.89;9.64;13.25;87;41;12.73
7;"Rennes";10;11;20;13;10.15;9.39;20.51;18.23;-8.83;13.69;12.26;54;89;7.66
8;"Strasbourg";10;16;18;11;15.22;13.7;18.51;16.99;-3.29;12.59;12.18;72;66;11.2
9;"Paris FC";10;12;17;11;11.31;9.79;19.01;13.69;-3.9;16.02;13.47;35;63;9.23
10;"Nantes";10;9;15;9;9.81;9.05;16.68;15.16;-6.11;15.51;8.2;35;68;9.11
11;"Angers";10;6;13;9;7.14;6.38;19.67;18.15;-11.77;19.86;9.56;30;65;6.14
12;"Lorient";10;7;15;9;11.19;9.67;17.94;15.66;-5.99;18.07;9.73;35;76;8.72
13;"Monaco";9;10;15;8;14.4;13.64;15.52;14;-0.36;8.18;14.57;68;59;11.28
14;"Brest";10;12;20;8;10.57;7.53;18.05;16.53;-9;11.95;8.88;39;69;9.88
15;"Nice";10;13;24;7;11.26;10.5;20.21;17.93;-7.43;12.04;10.08;56;95;7.29
16;"Le Havre";10;5;16;6;7.97;7.09;20.79;19.27;-12.17;11.69;9.03;30;98;6.88
17;"Metz";11;12;31;4;9.66;8.14;26.42;22.62;-14.48;19.51;12.16;37;96;5.48
18;"Auxerre";10;4;17;3;10.28;9.52;19.17;18.41;-8.89;12.84;8.33;50;67;8.7
