"number";"team";"matches";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Lyon";5;11;3;15;9.57;8.81;4.84;4.84;3.98;11.03;14.28;34;21;10.08
2;"Paris Saint Germain";5;12;4;12;13.46;13.46;5.71;4.95;8.51;8.11;19.41;63;16;10.89
3;"Lens";5;11;4;12;9.74;8.98;3.61;3.61;5.37;9.59;10.35;48;34;10.39
4;"Lorient";5;9;4;12;5.21;5.21;6.85;6.85;-1.64;15.78;11.03;29;41;5.62
5;"Monaco";5;8;4;8;7.19;7.19;3.23;3.23;3.96;7.14;13.1;36;35;9.81
6;"Le Havre";5;5;4;8;2.95;2.95;8.35;8.35;-5.4;11.79;6.04;15;69;3.29
7;"Marseille";5;12;12;8;10.22;9.46;10.88;9.36;0.09;12.86;14.97;36;42;7.1
8;"Toulouse";5;8;4;7;7.08;7.08;5.43;5.43;1.65;8.68;12.38;46;20;7.45
9;"Strasbourg";5;10;8;7;9.46;7.94;6.36;5.6;2.34;11.77;11.54;40;35;8.77
10;"Angers";5;4;7;7;4.3;4.3;7.2;7.2;-2.9;18.45;12.15;22;30;5.32
11;"Paris FC";5;4;8;6;4.48;3.72;8.24;6.72;-3;11.35;15.83;27;29;5.15
12;"Auxerre";5;3;3;5;3.95;3.95;7.13;7.13;-3.18;13.56;7.54;39;32;5.14
13;"Brest";5;6;7;5;6.88;6.12;7.01;7.01;-0.89;11.91;7.95;25;42;7.14
14;"Nice";5;7;10;5;5.99;5.99;8.42;7.66;-1.67;10.14;8.97;19;35;4.75
15;"Rennes";5;5;11;4;8;8;9.11;9.11;-1.12;8.95;8.63;50;34;6.71
16;"Lille";5;2;9;2;6.12;6.12;6.9;6.9;-0.78;11.44;13.39;43;25;6.4
17;"Metz";5;4;11;1;3.9;3.14;8.3;7.54;-4.4;14.86;11.16;10;55;3.85
18;"Nantes";5;4;12;0;5.4;5.4;6.32;6.32;-0.92;11.6;9.69;34;21;5.95
