"number";"team";"matches";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Lens";10;18;4;27;25.55;23.27;9.74;8.98;14.28;11.42;11.42;96;63;24.04
2;"Paris Saint Germain";9;22;4;25;19.33;17.81;7.5;6.74;11.07;6.58;24.51;120;29;20.18
3;"Lyon";10;17;7;24;19.39;18.63;9.32;8.44;10.19;10.03;14.47;70;30;20.64
4;"Marseille";10;27;11;23;22.7;18.9;11.42;10.66;8.24;10.17;20.78;84;44;20.2
5;"Strasbourg";10;17;7;19;18.55;17.03;7.99;6.47;10.57;11.86;14.82;63;39;19.57
6;"Lille";10;17;12;19;20.71;17.67;13.79;13.79;3.88;11.09;13.13;102;50;17.65
7;"Monaco";11;22;18;19;21.83;18.65;15.28;13;5.65;8.39;12.4;99;90;19.17
8;"Lorient";10;20;16;19;18.06;16.39;12.05;9.77;6.62;18.35;9.66;69;50;17.25
9;"Rennes";10;19;11;18;20.73;19.97;14.1;13.34;6.64;9.55;10.18;66;50;18.39
10;"Angers";10;15;12;17;13.48;12.72;14.57;13.05;-0.33;14.8;11.43;46;58;13.19
11;"Toulouse";11;19;15;16;16.61;13.57;12.91;11.39;2.18;13.38;9.55;67;61;18.1
12;"Brest";10;14;13;15;18.19;15.15;12.55;12.55;2.6;9.9;12.73;53;61;18.19
13;"Nice";10;14;14;15;16.58;15.82;16.29;13.25;2.57;13.6;11.46;55;72;14.42
14;"Le Havre";10;11;9;14;14.07;11.79;9.11;8.35;3.44;10.43;11.42;40;46;17.59
15;"Auxerre";10;10;12;10;12.81;9.77;12.22;11.46;-1.69;14.04;7.72;44;59;14.26
16;"Paris FC";10;14;17;10;15.65;13.37;14.69;13.17;0.2;11.5;18.19;74;37;14.25
17;"Metz";9;9;15;8;9.81;7.53;14.08;12.56;-5.03;17.09;12.28;21;76;9.81
18;"Nantes";10;10;21;5;11.67;9.99;18.1;17.34;-7.35;12.98;9.58;44;70;9.69
