"number";"team";"matches";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Lens";22;42;17;52;47.95;44.15;26.78;22.69;21.46;10.69;11.19;177;127;43.31
2;"Paris Saint Germain";22;49;19;51;47.32;44.28;21.21;18.17;26.11;7.62;21.9;265;92;47.33
3;"Lyon";22;36;20;45;37.68;35.4;26.53;24.89;10.52;10.05;12.85;146;93;38.05
4;"Marseille";22;48;29;40;44.95;40.39;31.93;28.89;11.5;10.86;19.64;167;122;38.56
5;"Lille";22;35;31;34;38.52;35.48;30.26;27.83;7.65;10.28;13.44;218;98;34.6
6;"Rennes";22;34;35;34;34.02;32.5;39.79;36.75;-4.25;11.56;10.75;130;162;27.89
7;"Strasbourg";22;36;29;31;36.68;32.88;28.97;25.93;6.94;11.85;13.15;156;122;33.71
8;"Monaco";22;35;34;31;39.26;35.32;32.26;28.46;6.86;8.17;12.99;178;162;34.39
9;"Lorient";22;29;33;31;31.41;28.21;32.44;27.88;0.33;18.01;10.19;117;140;28.69
10;"Toulouse";22;32;26;30;30.58;25.26;28.37;25.33;-0.07;12.44;9.56;139;120;32.23
11;"Angers";22;22;27;29;22.2;20.68;36.38;33.34;-12.66;17.47;10.47;81;134;21.54
12;"Brest";22;29;34;27;31.65;25.57;33.09;31.57;-6;10.98;10.55;109;151;31.22
13;"Le Havre";22;20;27;26;23.88;20.72;33.53;31.25;-10.53;11.02;9.7;77;175;26.33
14;"Nice";22;27;40;23;29.6;28.08;39.33;34.01;-5.93;12.91;10.33;118;178;23.39
15;"Paris FC";22;26;39;22;28.12;24.32;38.48;30.88;-6.56;13.36;15.52;122;116;24.4
16;"Auxerre";22;17;30;17;25.42;21.62;32.9;31.38;-9.76;13.52;8.12;108;135;26.34
17;"Nantes";22;20;40;14;23.28;20.85;37.97;35.69;-14.85;13.88;8.92;99;148;20.51
18;"Metz";22;22;49;13;20.81;17.01;43.09;37.77;-20.76;17.22;12.07;63;195;16.98
