"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
1;"Harry Kane";"Bayern Munich";20;1626;22;4;17.96;4.63;0.99;0.26
2;"Deniz Undav";"VfB Stuttgart";16;1182;11;3;9.71;2.76;0.74;0.21
3;"Michael Olise";"Bayern Munich";20;1551;10;15;7.93;12.12;0.46;0.7
4;"Luis Díaz";"Bayern Munich";19;1577;10;9;9.91;5.94;0.57;0.34
5;"Haris Tabakovic";"Borussia M.Gladbach";19;1411;10;2;10.42;1.28;0.66;0.08
6;"Andrej Kramaric";"Hoffenheim";20;1209;8;4;6.56;2.63;0.49;0.2
7;"Serhou Guirassy";"Borussia Dortmund";19;1492;8;1;11.03;1.61;0.67;0.1
8;"Jonathan Burkardt";"Eintracht Frankfurt";10;700;8;0;7.35;0.22;0.94;0.03
9;"Nadiem Amiri";"Mainz 05";17;1403;7;2;5.32;3.53;0.34;0.23
10;"Mohammed Amoura";"Wolfsburg";17;1135;7;2;6.1;3.08;0.48;0.24
11;"Yan Diomande";"RasenBallsport Leipzig";19;1286;7;4;3.69;3.94;0.26;0.28
12;"Said El Mala";"FC Cologne";20;913;7;2;6.39;1.46;0.63;0.14
13;"Serge Gnabry";"Bayern Munich";15;907;6;5;4.04;3.85;0.4;0.38
14;"Patrik Schick";"Bayer Leverkusen";15;1068;6;2;7.78;1.57;0.66;0.13
15;"Grischa Prömel";"Hoffenheim";20;949;6;2;3.33;1.27;0.32;0.12
16;"Vincenzo Grifo";"Freiburg";20;996;6;1;4.27;3.8;0.39;0.34
17;"Christoph Baumgartner";"RasenBallsport Leipzig";19;1553;6;6;8.34;2.56;0.48;0.15
18;"Maximilian Beier";"Borussia Dortmund";18;994;6;3;4.72;2.04;0.43;0.18
19;"Tim Lemperle";"Hoffenheim";18;1321;6;2;5.75;2.12;0.39;0.14
20;"Fisnik Asllani";"Hoffenheim";19;1335;6;3;5.78;3;0.39;0.2
21;"Jens Stage";"Werder Bremen";18;1560;6;1;3;2.47;0.17;0.14
22;"Can Uzun";"Eintracht Frankfurt";14;817;6;3;2.73;2.26;0.3;0.25
23;"Rômulo";"RasenBallsport Leipzig";16;1279;6;3;8.02;2.06;0.56;0.14
24;"Julian Brandt";"Borussia Dortmund";15;932;5;2;3.99;2.67;0.39;0.26
25;"Ermedin Demirovic";"VfB Stuttgart";11;661;5;1;3.63;0.51;0.49;0.07
26;"Jakub Kaminski";"FC Cologne";20;1783;5;1;3.86;3.08;0.19;0.16
27;"Karim Adeyemi";"Borussia Dortmund";19;929;5;2;3.45;2.38;0.33;0.23
28;"Dzenan Pejcinovic";"Wolfsburg";17;780;5;0;4.52;0.14;0.52;0.02
29;"Stefan Schimmer";"FC Heidenheim";15;437;5;1;4.36;1.47;0.9;0.3
30;"Álex Grimaldo";"Bayer Leverkusen";15;1296;5;4;3.97;3.8;0.28;0.26
31;"Igor Matanovic";"Freiburg";17;527;5;0;5.2;0.82;0.89;0.14
32;"Ilyas Ansah";"Union Berlin";20;1337;5;1;3.04;1.27;0.2;0.09
33;"Rani Khedira";"Union Berlin";19;1695;4;0;1.68;1.28;0.09;0.07
34;"Oliver Burke";"Union Berlin";19;1018;4;0;4.22;0.96;0.37;0.08
35;"Rayan Philippe";"Hamburger SV";18;981;4;0;4.29;1.16;0.39;0.11
36;"Ritsu Doan";"Eintracht Frankfurt";20;1686;4;5;3.38;4.98;0.18;0.27
37;"Albert Sambi Lokonga";"Hamburger SV";15;1025;4;0;0.99;0.93;0.09;0.08
38;"Jamie Leweling";"VfB Stuttgart";19;1452;4;5;2.82;3.13;0.17;0.19
39;"Malik Tillman";"Bayer Leverkusen";15;1132;4;1;2.86;2.73;0.23;0.22
40;"Justin Njinmah";"Werder Bremen";19;1066;4;0;4.11;0.69;0.35;0.06
41;"Danilho Doekhi";"Union Berlin";20;1800;4;0;3.21;0.52;0.16;0.03
42;"Derry Scherhant";"Freiburg";17;585;4;0;2.11;0.49;0.32;0.08
43;"Lennart Karl";"Bayern Munich";18;773;4;2;5.06;1.53;0.59;0.18
44;"Luka Vuskovic";"Hamburger SV";17;1530;4;0;2.11;0.3;0.12;0.02
45;"Ernest Poku";"Bayer Leverkusen";17;987;4;3;3.3;1.96;0.3;0.18
46;"Wouter Burger";"Hoffenheim";18;1488;4;5;2.42;4.75;0.15;0.29
47;"Andréas Hountondji";"St. Pauli";12;628;4;0;2.8;0.18;0.4;0.03
48;"Gian-Luca Waldschmidt";"FC Cologne";13;379;3;2;3.69;1.55;0.88;0.37
49;"Maximilian Mittelstädt";"VfB Stuttgart";19;1260;3;3;2.6;3.19;0.19;0.23
50;"Emre Can";"Borussia Dortmund";8;578;3;0;2.36;0;0.37;0
51;"Kevin Diks";"Borussia M.Gladbach";18;1513;3;0;2.91;0.5;0.17;0.03
52;"Raphael Guerreiro";"Bayern Munich";11;419;3;2;1.84;1.34;0.39;0.29
