"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
1;"Kylian Mbappe-Lottin";"Real Madrid";21;1861;22;4;20.5;6.32;0.99;0.31
2;"Vedat Muriqi";"Mallorca";21;1731;15;1;13.29;1.07;0.69;0.06
3;"Ferrán Torres";"Barcelona";20;1309;12;1;13.03;2.11;0.9;0.14
4;"Ante Budimir";"Osasuna";21;1666;10;0;9.69;0.56;0.52;0.03
5;"Robert Lewandowski";"Barcelona";17;818;9;1;11;1.57;1.21;0.17
6;"Lamine Yamal";"Barcelona";18;1527;9;8;8.21;9.9;0.48;0.58
7;"Mikel Oyarzabal";"Real Sociedad";19;1680;8;3;10.01;4.53;0.54;0.24
8;"Borja Iglesias";"Celta Vigo";20;1171;8;2;6.87;1.41;0.53;0.11
9;"Juan Camilo Hernández";"Real Betis";19;1669;8;3;7.66;3.68;0.41;0.2
10;"Raphinha";"Barcelona";14;906;8;3;5.79;4.49;0.57;0.45
11;"Alberto Moleiro";"Villarreal";21;1447;8;3;4.09;3.69;0.25;0.23
12;"Gerard Moreno";"Villarreal";12;749;7;0;4.04;2.64;0.49;0.32
13;"Alexander Sørloth";"Atletico Madrid";21;1087;7;0;6.92;0.65;0.57;0.05
14;"Hugo Duro";"Valencia";21;1267;7;0;5.84;1.03;0.42;0.07
15;"Jorge De Frutos";"Rayo Vallecano";20;1503;7;1;7;1.78;0.42;0.11
16;"Julián Álvarez";"Atletico Madrid";22;1636;7;3;7.75;5.31;0.43;0.29
17;"Vladyslav Vanat";"Girona";19;1487;7;0;6.59;1.18;0.4;0.07
18;"Antoine Griezmann";"Atletico Madrid";20;684;6;0;4.89;1.38;0.64;0.18
19;"Pablo Fornals";"Real Betis";22;1817;6;4;3.74;3.61;0.19;0.18
20;"Rafa Mir";"Elche";18;1337;6;0;5.53;0.73;0.37;0.05
21;"Pere Milla";"Espanyol";20;1408;6;0;6.09;2.85;0.39;0.18
22;"Gonçalo Guedes";"Real Sociedad";22;1226;6;2;3.32;1.66;0.24;0.12
23;"Vinícius Júnior";"Real Madrid";22;1709;6;5;7.28;4.82;0.38;0.25
24;"Dani Olmo";"Barcelona";17;1063;6;4;5.88;3.37;0.5;0.29
25;"Etta Eyong";"Levante,Villarreal";19;1417;6;3;9.04;2.41;0.57;0.15
26;"Akor Adams";"Sevilla";17;1047;6;2;7.38;0.59;0.63;0.05
27;"Lucas Boyé";"Alaves";16;1168;5;1;6.15;2.02;0.47;0.16
28;"Brais Méndez";"Real Sociedad";21;1262;5;2;3.52;1.6;0.25;0.11
29;"Georges Mikautadze";"Villarreal";16;1002;5;3;6.56;2.29;0.59;0.21
30;"Antony";"Real Betis";17;1445;5;4;4.69;3.88;0.29;0.24
31;"Alvaro Rodríguez";"Elche";19;1168;5;4;6.72;2.27;0.52;0.17
32;"Carlos Vicente";"Alaves";21;1250;5;0;3.71;3.86;0.27;0.28
33;"Tajon Buchanan";"Villarreal";20;1212;5;0;2.15;1.7;0.16;0.13
34;"Roberto Fernández";"Espanyol";22;1600;5;2;5.71;3.02;0.32;0.17
35;"Marcus Rashford";"Barcelona";20;1172;4;6;6.57;3.87;0.5;0.3
36;"Borja Mayoral";"Getafe";14;1066;4;1;3.41;0.53;0.29;0.04
37;"André Silva";"Elche";16;851;4;0;3.72;1.18;0.39;0.12
38;"Antonio Martínez";"Alaves";21;1403;4;2;5.58;1.87;0.36;0.12
39;"Aitor Ruibal";"Real Betis";17;1025;4;1;2.96;1.47;0.26;0.13
40;"German Valera";"Elche";21;1635;4;3;1.83;3.41;0.1;0.19
