"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
1;"Mason Greenwood";"Marseille";19;1507;13;4;10.16;4.99;0.61;0.3
2;"Joaquín Panichelli";"Strasbourg";20;1684;11;1;11.12;2.95;0.59;0.16
3;"Esteban Lepaul";"Angers,Rennes";20;1554;9;3;8.12;1.72;0.47;0.1
4;"Wesley Said";"Lens";20;1441;8;2;8.06;4.62;0.5;0.29
5;"Ilan Kebbal";"Paris FC";19;1671;8;4;5.04;3.44;0.27;0.19
6;"Pavel Sulc";"Lyon";18;1064;8;2;5.95;1.97;0.5;0.17
7;"Odsonne Edouard";"Lens";16;1039;7;2;6.3;1.2;0.55;0.1
8;"Romain Del Castillo";"Brest";18;1487;7;2;6.51;4.79;0.39;0.29
9;"Sofiane Diop";"Nice";19;1269;7;2;5.61;2.29;0.4;0.16
10;"Anssumane Fati";"Monaco";13;504;7;0;8.74;0.9;1.56;0.16
11;"Bradley Barcola";"Paris Saint Germain";17;993;7;1;7.02;2.34;0.64;0.21
12;"Pierre-Emerick Aubameyang";"Marseille";18;1134;6;5;7.78;3.68;0.62;0.29
13;"Gauthier Hein";"Metz";18;1517;6;4;4.61;2.19;0.27;0.13
14;"Yann Gboho";"Toulouse";19;1632;6;3;2.85;2.37;0.16;0.13
15;"Pablo Pagis";"Lorient";17;990;6;0;5;1.82;0.45;0.17
16;"Lassine Sinayoko";"Auxerre";19;1652;6;2;6.44;3;0.35;0.16
17;"Florian Thauvin";"Lens";20;1614;5;2;7.9;5.26;0.44;0.29
18;"Ousmane Dembélé";"Paris Saint Germain";12;539;5;3;3.17;3.04;0.53;0.51
19;"Breel Embolo";"Rennes";17;1225;5;2;4.17;1.23;0.31;0.09
20;"Kamory Doumbia";"Brest";15;1146;5;2;3.16;2.33;0.25;0.18
21;"Frank Magri";"Toulouse";17;1297;5;1;4.2;0.84;0.29;0.06
22;"Martial Godo";"Strasbourg";15;634;5;0;4.41;0.33;0.63;0.05
23;"Hákon Haraldsson";"Lille";18;1400;5;1;4.36;2.6;0.28;0.17
24;"João Neves";"Paris Saint Germain";11;818;5;1;1.87;1.38;0.21;0.15
25;"Hamza Igamane";"Lille";13;406;5;1;3.76;0.66;0.83;0.15
26;"Olivier Giroud";"Lille";18;1302;4;1;6.21;1.45;0.43;0.1
27;"Habib Diallo";"Metz";13;1111;4;1;4.77;0.48;0.39;0.04
28;"Amine Gouiri";"Marseille";10;565;4;1;4.52;1.02;0.72;0.16
29;"Mohamed Ali-Cho";"Nice";13;937;4;2;2.17;1.77;0.21;0.17
30;"Matthis Abline";"Nantes";20;1600;4;2;5.25;2.74;0.3;0.15
31;"Folarin Balogun";"Monaco";16;1087;4;3;5.28;2.83;0.44;0.23
32;"Maghnes Akliouche";"Monaco";19;1532;4;2;4.15;3.69;0.24;0.22
33;"Sambou Soumano";"Lorient";19;764;4;2;6.68;1.7;0.79;0.2
34;"Gonçalo Ramos";"Paris Saint Germain";19;865;4;0;5.44;0.49;0.57;0.05
35;"Emanuel Emegha";"Strasbourg";7;407;4;2;3.62;1.26;0.8;0.28
36;"Sidiki Chérif";"Angers";19;1187;4;0;2.83;0.6;0.21;0.05
37;"Robinio Vaz";"Marseille";14;346;4;2;2.75;0.97;0.71;0.25
38;"Santiago Hidalgo";"Toulouse";16;483;4;2;1.92;0.21;0.36;0.04
39;"Igor Paixão";"Marseille";17;1108;4;2;3.11;1.02;0.25;0.08
40;"Emersonn";"Toulouse";14;892;4;2;5;0.6;0.5;0.06
41;"Youssef El-Arabi";"Nantes";18;724;3;0;3.4;0.57;0.42;0.07
42;"Ludovic Blas";"Rennes";18;770;3;2;3.05;3.38;0.36;0.39
43;"Corentin Tolisso";"Lyon";18;1456;3;1;5.99;2.92;0.37;0.18
44;"Angel Gomes";"Marseille";14;919;3;0;2.06;1.07;0.2;0.1
45;"Willem Geubbels";"Paris FC";17;700;3;0;3.83;0.29;0.49;0.04
46;"Moses Simon";"Paris FC";17;1256;3;2;2.24;2.41;0.16;0.17
47;"Khvicha Kvaratskhelia";"Paris Saint Germain";16;832;3;3;3.45;3.1;0.37;0.34
48;"Takumi Minamino";"Monaco";15;976;3;2;3.37;2.1;0.31;0.19
49;"Sepe Elye Wahi";"Nice";4;288;3;0;1.78;0.17;0.56;0.05
50;"Charlie Cresswell";"Toulouse";20;1800;3;1;2.46;0.43;0.12;0.02
51;"Ahmadou Bamba Dieng";"Lorient";8;295;3;1;3.09;0.83;0.94;0.25
52;"Felix Correia";"Lille";20;1181;3;4;2.99;4.19;0.23;0.32
53;"Nuno Mendes";"Paris Saint Germain";13;839;3;2;1.93;1.79;0.21;0.19
54;"Désiré Doué";"Paris Saint Germain";11;584;3;2;2.23;1.62;0.34;0.25
55;"Mostafa Mohamed";"Nantes";17;920;3;0;2.82;1.05;0.28;0.1
56;"Abner";"Lyon";13;1101;3;0;1.7;0.58;0.14;0.05
57;"Rassoul Ndiaye";"Le Havre";20;1468;3;3;1.75;1.78;0.11;0.11
58;"Issa Soumaré";"Le Havre";20;1682;3;2;8.66;2.52;0.46;0.13
59;"Aron Dønnum";"Toulouse";17;1521;3;3;3.82;4.06;0.23;0.24
60;"Aiyegun Tosin";"Lorient";14;738;3;0;4.1;0.92;0.5;0.11
61;"Ethan Mbappé";"Lille";11;381;3;1;1.81;1.06;0.43;0.25
62;"Mamadou Coulibaly";"Monaco";13;864;3;1;1.6;0.85;0.17;0.09
63;"Senny Mayulu";"Paris Saint Germain";16;1092;3;2;3.29;2.37;0.27;0.2
64;"Endrick";"Lyon";3;270;3;1;2.24;1.06;0.75;0.35
65;"Matias Fernandez-Pardo";"Lille";15;1153;3;3;4.31;2.5;0.34;0.2
66;"Mohamed Meïté";"Rennes";17;502;3;2;4.26;1.32;0.76;0.24
67;"Rayan Fofana";"Lens";17;582;3;0;4.58;0.21;0.71;0.03
68;"Prosper Peter";"Angers";18;797;3;0;4.5;0.49;0.51;0.06
69;"Pierre-Emile Højbjerg";"Marseille";18;1477;2;3;2.68;2.4;0.16;0.15
70;"Nabil Bentaleb";"Lille";16;674;2;1;1.11;0.55;0.15;0.07
71;"Aleksandr Golovin";"Monaco";14;1033;2;2;2.74;1.51;0.24;0.13
72;"Benjamin André";"Lille";15;1343;2;1;1.38;1.26;0.09;0.08
73;"Djibril Sidibe";"Toulouse";20;1371;2;3;1.79;1.65;0.12;0.11
74;"Jean-Victor Makengo";"Lorient";17;902;2;1;1.25;0.61;0.12;0.06
75;"Jeremie Boga";"Nice";14;645;2;2;2.24;1.65;0.31;0.23
76;"Adrien Thomasson";"Lens";19;1662;2;5;3.94;4.79;0.21;0.26
77;"Abdoulaye Touré";"Le Havre";11;740;2;0;1.53;0.19;0.19;0.02
78;"Achraf Hakimi";"Paris Saint Germain";10;730;2;0;1.7;0.68;0.21;0.08
79;"Vincent Marchetti";"Paris FC";15;717;2;0;2.05;0.14;0.26;0.02
80;"Romain Perraud";"Lille";17;1407;2;3;0.98;2.5;0.06;0.16
81;"Timothy Weah";"Marseille";17;1254;2;2;2.28;2.05;0.16;0.15
82;"Ludovic Ajorque";"Brest";19;1664;2;6;5.7;2.07;0.31;0.11
83;"Naif Aguerd";"Marseille";13;1137;2;0;0.66;0.27;0.05;0.02
84;"Eric Junior Dina Ebimbe";"Brest";14;355;2;0;1.81;0.49;0.46;0.12
85;"Joris Chotard";"Brest";19;1624;2;0;1.17;0.05;0.07;0
86;"Mama Baldé";"Brest";13;649;2;2;2.74;0.43;0.38;0.06
87;"Fabien Centonze";"Nantes";8;236;2;0;0.76;0.03;0.29;0.01
88;"Fodé Doucouré";"Le Havre";17;691;2;1;1.17;1.82;0.15;0.24
89;"Jean-Phillipe Krasso";"Paris FC";19;937;2;2;3.56;2.78;0.34;0.27
90;"Terem Igobor Moffi";"Nice";10;484;2;0;2.45;0.66;0.46;0.12
91;"Martín Satriano";"Lyon";11;696;2;1;2.15;1.25;0.28;0.16
92;"Théo Le Bris";"Lorient";19;1266;2;2;1.25;1.31;0.09;0.09
93;"Tyler Morton";"Lyon";17;1506;2;2;1.74;1.89;0.1;0.11
94;"Louis Mouton";"Angers";19;1358;2;1;2.44;2.12;0.16;0.14
95;"Mika Biereth";"Monaco";18;947;2;2;3.21;1.5;0.3;0.14
96;"Guemissongui Ouattara";"Strasbourg";17;1083;2;0;1.75;1.4;0.15;0.12
97;"Yassin Belkhdim";"Angers";20;1647;2;2;1.56;1.44;0.09;0.08
98;"Guela Doué";"Strasbourg";15;1255;2;5;1.33;1.85;0.1;0.13
99;"Himad Abdelli";"Angers";13;951;2;0;1.83;0.51;0.17;0.05
100;"Remy Labeau Lascary";"Brest";14;567;2;1;2.09;0.66;0.33;0.11
101;"Pierre Ganiou";"Lens";9;796;2;0;1.45;0.02;0.16;0
102;"Mousa Al Tamari";"Rennes";19;1198;2;3;2.1;2.89;0.16;0.22
103;"Sadibou Sané";"Metz";9;680;2;0;0.14;0;0.02;0
104;"Diego Moreira";"Strasbourg";19;1500;2;4;1.53;5.64;0.09;0.34
105;"Amir Murillo";"Marseille";16;978;2;1;1.05;1.94;0.1;0.18
106;"Malick Fofana";"Lyon";9;750;2;1;2.69;2.17;0.32;0.26
107;"George Ilenikhena";"Monaco";15;343;2;0;1.26;0.23;0.33;0.06
108;"Bahereba Guirassy";"Nantes";15;723;2;1;1.79;0.83;0.22;0.1
109;"Sebastian Nanasi";"Strasbourg";8;344;2;1;1.51;1.45;0.39;0.38
110;"Abdelhamid Aït Boudlal";"Rennes";10;735;2;1;1.12;0.53;0.14;0.07
111;"Samson Baidoo";"Lens";17;1481;2;1;2.38;0.43;0.14;0.03
