"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
1;"Erling Haaland";"Manchester City";26;2169;22;6;21.9;4.32;0.91;0.18
2;"Thiago";"Brentford";26;2212;17;1;18.37;2.37;0.75;0.1
3;"Antoine Semenyo";"Bournemouth,Manchester City";25;2250;13;4;9.51;2.99;0.38;0.12
4;"Dominic Calvert-Lewin";"Leeds";23;1671;10;1;10.76;1.32;0.58;0.07
5;"João Pedro";"Chelsea";26;1913;10;4;9.35;3.5;0.44;0.16
6;"Hugo Ekitike";"Liverpool";23;1544;10;2;10.73;1.75;0.63;0.1
7;"Bryan Mbeumo";"Manchester United";21;1837;9;2;8.44;3.29;0.41;0.16
8;"Bruno Guimarães";"Newcastle United";23;2022;9;4;5.77;3.15;0.26;0.14
9;"Danny Welbeck";"Brighton";25;1456;8;0;8.42;0.74;0.52;0.05
10;"Jarrod Bowen";"West Ham";26;2336;8;3;7.11;3.08;0.27;0.12
11;"Harry Wilson";"Fulham";25;1986;8;4;3.76;3.64;0.17;0.16
12;"Jean-Philippe Mateta";"Crystal Palace";23;1938;8;0;12.9;1.11;0.6;0.05
13;"Viktor Gyokeres";"Arsenal";25;1671;8;0;8.57;1.53;0.46;0.08
14;"Cole Palmer";"Chelsea";15;1030;8;1;7.3;0.88;0.64;0.08
15;"Ollie Watkins";"Aston Villa";25;1946;8;1;10.83;1.29;0.5;0.06
16;"Enzo Fernández";"Chelsea";25;2161;8;2;9.98;6.63;0.42;0.28
17;"Eli Junior Kroupi";"Bournemouth";21;880;8;0;4.32;0.99;0.44;0.1
18;"Morgan Rogers";"Aston Villa";26;2330;8;5;4.57;5.41;0.18;0.21
19;"Richarlison";"Tottenham";21;1252;7;3;5.44;2.16;0.39;0.16
20;"Phil Foden";"Manchester City";23;1726;7;3;5.72;4.34;0.3;0.23
21;"Nick Woltemade";"Newcastle United";23;1452;7;2;7.66;1.14;0.47;0.07
22;"Bruno Fernandes";"Manchester United";23;2002;6;12;8.88;10.13;0.4;0.46
23;"Raúl Jiménez";"Fulham";25;1730;6;3;9.14;1.6;0.48;0.08
24;"Lukas Nmecha";"Leeds";20;695;6;1;6.13;0.7;0.79;0.09
25;"Morgan Gibbs-White";"Nottingham Forest";26;2238;6;2;7.29;2.87;0.29;0.12
26;"Matheus Cunha";"Manchester United";23;1626;6;2;4.69;2.36;0.26;0.13
27;"Kevin Schade";"Brentford";23;1886;6;3;8.06;4;0.38;0.19
28;"Jaidon Anthony";"Burnley";25;1706;6;1;3.32;1.96;0.18;0.1
29;"Benjamin Sesko";"Manchester United";21;1092;6;1;8.26;0.53;0.68;0.04
30;"Callum Wilson";"West Ham";22;928;5;1;4.77;0.35;0.46;0.03
31;"Emiliano Buendía";"Aston Villa";24;1165;5;2;3.11;2.03;0.24;0.16
32;"Casemiro";"Manchester United";24;1784;5;2;4.46;2.33;0.23;0.12
33;"Ismaila Sarr";"Crystal Palace";16;1382;5;1;6.72;1.9;0.44;0.12
34;"Pedro Neto";"Chelsea";26;2003;5;3;4.52;5.58;0.2;0.25
35;"Harvey Barnes";"Newcastle United";25;1377;5;0;6.32;2.32;0.41;0.15
36;"Bukayo Saka";"Arsenal";23;1650;5;3;7.05;5.98;0.38;0.33
37;"Martín Zubimendi";"Arsenal";27;2295;5;1;2.59;0.84;0.1;0.03
38;"Leandro Trossard";"Arsenal";23;1536;5;5;5.48;3.28;0.32;0.19
39;"Iliman Ndiaye";"Everton";20;1725;5;2;4.09;3.34;0.21;0.17
40;"Dango Ouattara";"Brentford";20;1393;5;1;5.38;2.51;0.35;0.16
41;"Kiernan Dewsbury-Hall";"Everton";19;1570;5;2;2.35;3.52;0.13;0.2
42;"Brian Brobbey";"Sunderland";21;1120;5;1;2.97;0.61;0.24;0.05
43;"Marcus Tavernier";"Bournemouth";22;1792;5;3;4.87;2.75;0.24;0.14
44;"Cody Gakpo";"Liverpool";24;1745;5;3;6.35;5.32;0.33;0.27
45;"Tijjani Reijnders";"Manchester City";24;1470;5;2;4.41;3.03;0.27;0.19
46;"Thierno Barry";"Everton";26;1529;5;0;6.64;0.9;0.39;0.05
47;"Evanilson";"Bournemouth";24;1865;5;0;8.8;1.95;0.42;0.09
48;"Zian Flemming";"Burnley";18;836;5;0;4.84;0.31;0.52;0.03
49;"Mohamed Salah";"Liverpool";18;1546;4;6;6.51;4.82;0.38;0.28
50;"Mikel Merino";"Arsenal";21;977;4;3;4.55;2.29;0.42;0.21
51;"Declan Rice";"Arsenal";26;2243;4;4;3.55;6.29;0.14;0.25
52;"Wilson Isidor";"Sunderland";23;1019;4;0;4.52;0;0.4;0
53;"Cristian Romero";"Tottenham";21;1714;4;1;1.8;1.69;0.09;0.09
54;"Lucas Paquetá";"West Ham";18;1544;4;1;2.44;3.01;0.14;0.18
55;"Malick Thiaw";"Newcastle United";23;1944;4;0;4.17;0.78;0.19;0.04
56;"Florian Wirtz";"Liverpool";25;1899;4;2;5.91;3.98;0.28;0.19
57;"Eberechi Eze";"Arsenal,Crystal Palace";22;1169;4;2;2.24;1.99;0.17;0.15
58;"Crysencio Summerville";"West Ham";21;1620;4;1;3.82;1.32;0.21;0.07
