"number";"team";"matches";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Arsenal";14;21;12;26;26.23;25.47;12.14;12.14;13.33;10.11;14.31;125;60;28.54
2;"Chelsea";13;25;15;22;26.8;24.52;18.49;18.49;6.03;9.43;14.58;92;86;21.84
3;"Aston Villa";13;18;17;22;17.21;17.21;23.52;23.52;-6.31;12.69;8.81;94;80;12.94
4;"Manchester City";13;22;16;21;22.54;21.02;17.06;16.3;4.71;10.36;12.5;122;77;22.62
5;"Everton";13;13;12;21;14.79;14.79;21.14;20.38;-5.59;14.78;8.04;68;122;14
6;"Crystal Palace";13;15;14;20;19.18;16.9;18.84;18.08;-1.18;13.41;10.24;71;77;17.94
7;"Tottenham";13;20;19;19;14.52;14.52;19.21;18.45;-3.93;12.39;9.71;76;91;14.87
8;"Manchester United";13;22;22;18;22.25;19.96;20.24;19.48;0.48;9.63;10.83;80;83;17.25
9;"Liverpool";13;20;21;18;22.65;21.89;20.59;18.31;3.58;10.73;15.04;114;72;19.26
10;"Brentford";13;16;22;15;19.2;15.39;21.25;18.21;-2.81;11.69;11.17;83;84;16.15
11;"Bournemouth";13;23;31;14;24.61;23.09;28.48;25.44;-2.35;10.15;8.56;94;112;16.14
12;"Nottingham Forest";13;12;20;14;11.43;10.67;23.93;22.41;-11.74;13.23;9.25;64;117;9.85
13;"Newcastle United";13;13;17;13;13.92;13.92;15.64;14.88;-0.97;10.59;13.63;87;84;16.89
14;"West Ham";13;15;22;13;15.27;14.51;27.47;25.19;-10.68;14.62;8.42;62;101;11.1
15;"Fulham";13;13;24;11;13.43;12.66;23.93;22.4;-9.74;12.72;12.99;79;89;10.2
16;"Brighton";13;14;20;10;19.47;17.18;21.3;19.02;-1.83;9.46;13.48;72;101;16.97
17;"Sunderland";13;6;20;10;11.76;11;23.53;22.77;-11.77;13.71;11.38;50;111;10.26
18;"Leeds";13;14;27;8;16.02;13.59;23.66;20.61;-7.02;13.85;11.49;70;88;13.53
19;"Burnley";13;16;32;8;11.05;9.53;32.83;29.02;-19.5;13.55;10.88;45;137;5.01
20;"Wolverhampton Wanderers";13;5;20;4;7.88;7.88;22.58;22.58;-14.7;12.49;9.54;50;113;8.84
