"number";"team";"matches";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Chelsea";5;13;6;13;14.35;10.54;8.02;7.26;3.28;9.85;21.49;30;28;10.84
2;"Manchester United";5;11;5;13;8.46;8.46;5.43;4.67;3.79;13.27;12.06;35;39;8.25
3;"Bournemouth";5;9;5;11;9.84;9.08;7.01;6.25;2.83;16.16;10.27;29;44;8.74
4;"West Ham";5;10;6;10;9.11;8.35;7.61;7.61;0.74;16.59;7.92;19;29;8.1
5;"Manchester City";5;9;5;10;7.58;6.82;7.43;7.43;-0.61;8.36;16.24;45;27;7.74
6;"Arsenal";6;12;6;9;11.82;11.82;3.55;3.55;8.27;8.71;12.85;53;17;13.35
7;"Everton";5;6;5;8;7.14;6.37;7.62;7.62;-1.25;12.04;9.89;27;42;6.39
8;"Leeds";5;7;8;8;8.7;7.93;9.57;8.8;-0.87;13.67;13.26;25;31;7.48
9;"Liverpool";5;9;7;7;11.88;11.11;7.25;6.49;4.62;10.71;14.35;74;38;9.26
10;"Aston Villa";5;4;3;7;5.6;5.6;5.32;5.32;0.28;11.29;10.45;54;20;6.81
11;"Brentford";5;5;7;7;7.26;6.49;9.27;7.75;-1.25;10.09;13.35;40;41;5.85
12;"Nottingham Forest";5;4;4;6;8.05;8.05;10.3;9.54;-1.5;18.69;6.85;30;47;5.02
13;"Sunderland";5;6;8;6;5.57;5.57;7.74;6.98;-1.41;11.78;10.95;19;28;5.86
14;"Burnley";5;6;10;5;4.76;4.76;11.22;10.46;-5.7;13.29;10.53;23;57;3.26
15;"Crystal Palace";5;6;9;4;8.27;7.51;7.35;6.59;0.92;11.78;12.66;38;17;7.57
16;"Newcastle United";5;5;10;4;8.84;8.08;8.15;7.39;0.69;10.06;11.94;36;42;8.07
17;"Fulham";5;5;10;3;6.37;5.6;9.52;9.52;-3.92;14.3;15.25;32;29;4.69
18;"Wolverhampton Wanderers";6;3;9;3;4.73;4.73;12.93;11.41;-6.68;17.83;8.23;24;49;3.77
19;"Brighton";5;3;6;2;5.59;5.59;5.62;4.85;0.74;8.69;18.51;31;37;6.58
20;"Tottenham";5;6;10;2;8.02;8.02;10.99;10.99;-2.96;9.63;10.14;42;44;4.94
