"number";"team";"matches";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Manchester City";12;29;8;29;26.94;25.41;13.34;12.43;12.98;10.82;13.39;124;43;25.05
2;"Arsenal";12;28;8;29;25.86;24.34;8.64;8.64;15.7;8.55;17.32;114;28;27.6
3;"Sunderland";12;21;9;26;13.94;12.42;15.25;14.49;-2.06;11.67;10.1;61;105;16.02
4;"Aston Villa";12;18;10;25;17.58;17.58;14.65;13.13;4.46;10.48;10.07;107;61;18.52
5;"Brentford";12;23;12;24;25.49;23.2;16.19;13.91;9.29;11.25;10.72;79;78;21.96
6;"Manchester United";12;23;15;24;25.39;24.63;13.21;12.45;12.18;10.91;11.27;93;75;24.22
7;"Liverpool";12;20;12;24;23.37;22.61;11.11;11.11;11.49;8.9;14.6;135;65;24.49
8;"Fulham";12;21;14;23;15.82;15.05;15.99;15.23;-0.17;13.85;15.9;93;73;16.35
9;"Newcastle United";12;22;17;23;26.57;23.53;16.02;14.5;9.03;9.3;10.39;90;78;23.55
10;"Bournemouth";12;19;13;22;18.58;17.05;8.88;8.88;8.17;9.37;11.47;84;76;22.99
11;"Leeds";13;22;18;22;24.26;22.74;16.54;15.78;6.96;11.87;11.54;66;71;24.57
12;"Chelsea";12;20;13;21;24.29;22;19.29;19.29;2.71;8.51;15.62;81;75;18.67
13;"Brighton";12;20;13;21;18.41;16.89;17.48;15.19;1.69;9.37;13.56;84;84;17
14;"Everton";12;15;16;16;16.46;15.7;17.97;16.45;-0.75;12.36;10.25;78;73;15.97
15;"Crystal Palace";12;11;15;12;22.99;21.47;18.9;17.38;4.09;14.56;10.89;106;67;18.85
16;"Nottingham Forest";12;13;18;12;16.94;16.18;19.51;17.22;-1.05;13.06;9.93;78;74;15.08
17;"Tottenham";12;15;16;10;15.37;15.37;16;16;-0.63;8.62;10.49;73;81;17.69
18;"Burnley";12;12;17;10;11.83;11.83;22.81;22.05;-10.22;13.02;11.93;57;100;9.78
19;"West Ham";12;16;26;10;15.86;14.34;22.01;19.73;-5.39;14.47;10.58;56;76;14.33
20;"Wolverhampton Wanderers";12;10;25;5;14.93;12.65;18.55;17.79;-5.15;11.82;9.67;67;87;15.15
