"number";"team";"matches";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Arsenal";24;46;17;53;49.3;47.01;18.79;18.79;28.22;9.43;16.15;225;79;52.73
2;"Manchester City";24;49;23;47;47.06;44.78;29.14;27.47;17.31;10.75;12.78;234;112;45.45
3;"Aston Villa";24;35;26;46;34.15;34.15;36.34;34.82;-0.67;11.45;9.31;193;135;30.95
4;"Manchester United";24;44;36;41;46.9;43.86;32.14;30.62;13.24;10.25;10.83;168;157;40.67
5;"Chelsea";24;42;27;40;47.32;44.28;36.66;36.66;7.62;8.97;14.46;163;155;37.71
6;"Liverpool";24;39;33;39;42.94;41.42;31.02;28.73;12.69;9.79;14.97;239;129;41.02
7;"Brentford";24;36;32;36;43.03;37.71;34.12;29.55;8.15;11.48;10.81;151;154;37.72
8;"Sunderland";24;27;26;36;25.28;23;37.59;36.06;-13.07;12.64;10.87;110;207;25.62
9;"Fulham";24;34;35;34;28.19;26.67;38.24;35.96;-9.29;13.04;14.29;169;157;25.67
10;"Everton";24;26;27;34;29.36;28.6;36.91;34.63;-6.03;13.61;8.92;140;184;28.79
11;"Newcastle United";24;33;33;33;38.02;34.97;29.97;27.69;7.28;10.02;12.18;166;153;38.51
12;"Bournemouth";24;40;43;33;41.77;38.73;35.03;32.75;5.98;9.68;9.93;173;183;38.41
13;"Brighton";24;34;32;31;37.39;33.59;38.2;33.64;-0.05;9.47;13.45;151;175;32.78
14;"Tottenham";24;35;33;29;29.3;29.3;33.04;32.28;-2.98;10.07;10.11;141;154;32.2
15;"Crystal Palace";24;25;29;29;41.24;37.44;37.01;34.72;2.71;13.72;10.67;171;141;35.29
16;"Leeds";25;34;43;29;39;35.8;36.98;33.94;1.86;12.43;11.56;134;150;37.84
17;"Nottingham Forest";25;25;38;26;28.37;26.84;43.43;39.63;-12.78;13.14;9.56;142;191;24.94
18;"West Ham";24;29;48;20;30.01;27.72;47.64;43.07;-15.35;14.55;9.21;114;171;24.62
19;"Burnley";24;25;47;15;22.19;20.67;53.52;48.95;-28.28;13.11;11.57;97;222;14.35
20;"Wolverhampton Wanderers";24;15;45;8;22.41;20.12;37.44;36.68;-16.56;12.25;9.71;115;187;23.96
