"number";"team";"matches";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Inter";12;24;9;30;25.08;24.32;10.45;9.69;14.62;8.98;16.94;123;40;25.59
2;"AC Milan";13;23;9;29;21.47;17.66;14.91;12.62;5.04;16.98;15.08;79;88;22.35
3;"Roma";13;15;10;22;18.64;17.12;17.82;17.82;-0.7;8.02;12.73;116;63;19.28
4;"Napoli";13;17;14;22;21.43;19.15;14.89;12.6;6.54;11.11;14.11;78;59;21.79
5;"Juventus";13;18;13;20;20.69;20.69;13.36;12.59;8.1;10;14;115;52;22.59
6;"Como";12;18;10;19;18.46;16.17;15.86;14.34;1.83;8.18;13.06;70;62;18.05
7;"Bologna";13;22;18;19;17.23;15.71;20.92;19.39;-3.68;9.18;10.64;65;64;16.34
8;"Sassuolo";13;17;16;18;16.71;14.24;19.02;18.26;-4.01;14.34;9.55;57;101;17.84
9;"Atalanta";12;14;11;17;15.72;14.2;20.44;18.8;-4.6;11.98;12.55;83;84;15.3
10;"Udinese";12;15;20;16;14.68;12.4;22.66;19.61;-7.21;11.92;8.87;53;70;12
11;"Parma Calcio 1913";12;8;13;16;12.86;12.09;20.38;18.86;-6.77;12.86;9.5;46;84;12.44
12;"Lazio";12;8;9;14;11.71;11.71;16.29;16.29;-4.58;15.4;11.41;43;79;13.06
13;"Cagliari";13;13;20;13;13.72;12.96;24.42;24.42;-11.47;15.05;10.71;46;67;10.95
14;"Torino";12;12;22;13;13.72;12.2;17.57;15.29;-3.09;13.23;10.25;49;84;15.12
15;"Cremonese";13;10;18;12;11.9;11.9;27.3;25.64;-13.75;14.36;9.28;38;106;9.15
16;"Genoa";12;15;19;11;17.18;14.9;19.09;16.8;-1.9;11.34;9.47;40;85;15.1
17;"Lecce";12;8;15;11;8.38;8.38;23.4;21.88;-13.49;12.54;7.89;26;102;7.71
18;"Fiorentina";13;12;20;11;16.96;13.92;22.17;19.13;-5.21;12.04;11.18;46;90;14.34
19;"Pisa";12;16;26;8;15.11;11.31;25.42;23.89;-12.58;11.65;8.76;45;118;14.03
20;"Verona";13;8;24;8;14.28;12.76;22.31;21.55;-8.79;12.11;8.47;51;75;13.6
