"number";"team";"matches";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Inter";5;17;4;15;15.83;15.07;3.11;3.11;11.96;9.49;15.02;69;10;13.13
2;"Atalanta";5;9;2;11;12.52;11;11.93;11.17;-0.17;14.3;11.86;37;53;8.59
3;"AC Milan";5;8;3;11;10.44;8.92;5.34;4.58;4.34;13.16;16.12;21;31;9.46
4;"Napoli";5;8;8;10;5.85;5.08;7.76;6.24;-1.15;13.05;14.13;33;28;5.26
5;"Cagliari";5;7;5;9;5.52;5.52;7.31;7.31;-1.79;18.29;9.34;13;23;5.49
6;"Sassuolo";5;6;8;9;6.67;6.67;5.47;5.47;1.21;15.43;10.78;24;36;8.31
7;"Como";5;11;3;8;13.95;11.67;4.05;3.29;8.38;10.24;20.1;48;5;11.26
8;"Roma";5;7;4;8;8.99;7.47;2.76;2.76;4.71;9.23;13.85;35;16;11.49
9;"Juventus";5;11;7;7;10.09;10.09;4.49;4.49;5.6;11.4;14.31;55;37;10.45
10;"Lecce";5;4;3;7;5.2;5.2;8.74;7.98;-2.78;11.02;8.94;18;27;5.35
11;"Fiorentina";5;8;8;7;8.12;7.36;6.94;6.94;0.43;18.88;10.61;23;31;7.98
12;"Parma Calcio 1913";5;4;9;7;5.29;5.29;12.12;10.59;-5.31;11.46;11.1;32;39;3.55
13;"Udinese";5;6;6;6;4.1;3.33;6.85;6.85;-3.52;10.98;8.22;23;31;4.87
14;"Genoa";5;7;8;5;6.27;4.75;6.37;4.08;0.67;9.88;13.89;21;34;6.71
15;"Lazio";5;5;9;5;5.6;4.08;9.4;7.11;-3.03;19.54;12.86;24;34;4.62
16;"Torino";5;4;12;4;4.61;4.61;8.63;7.87;-3.26;11.54;15.55;22;37;4.58
17;"Bologna";5;5;10;3;5.74;5.74;6.3;5.54;0.2;12.32;14.38;42;17;7.28
18;"Cremonese";5;1;5;2;4.07;4.07;8.51;8.51;-4.44;13.15;11.02;20;33;4.04
19;"Pisa";5;5;12;2;5.06;5.06;12.46;10.93;-5.87;12.75;10.22;31;45;4.66
20;"Verona";5;2;9;2;2.37;1.61;7.8;7.8;-6.19;12.11;11.62;12;36;2.6
