"number";"team";"matches";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Inter";12;33;10;28;34.76;31.72;9.67;8.91;22.81;8.71;15.17;152;32;29.38
2;"Napoli";11;19;9;27;16.81;16.05;12.62;9.57;6.48;11.74;16.59;68;41;18.24
3;"Juventus";11;23;8;25;24.17;20.99;9.17;8.41;12.58;10.37;18.48;105;48;24.06
4;"AC Milan";11;17;9;24;23.43;21.91;10.82;7.78;14.13;13.63;14.87;104;33;23.56
5;"Como";12;20;7;23;25.02;22.73;12.02;11.26;11.48;7.22;16.13;83;39;23.47
6;"Atalanta";12;18;9;22;27.63;26.87;13.61;12.85;14.02;11.32;12.98;118;67;25.21
7;"Roma";11;14;6;22;18.1;16.58;9.59;9.59;6.99;7.78;12.53;102;32;21.13
8;"Lazio";12;18;14;19;16.39;13.35;17.29;15;-1.65;15.81;12.07;63;55;14.89
9;"Udinese";12;12;16;16;15.54;14.78;14.4;12.88;1.9;10.34;9.42;67;51;17.53
10;"Cagliari";11;15;13;15;11.42;11.42;15.38;14.62;-3.2;12.72;8.9;38;70;12.87
11;"Bologna";11;12;13;14;15.91;14.39;14.6;13.84;0.54;9.09;13.24;66;56;15.73
12;"Sassuolo";11;12;14;14;13.12;13.12;17.23;14.94;-1.82;15.09;9.68;73;54;12.93
13;"Torino";12;12;20;14;18.71;16.31;20.46;19.7;-3.39;11.09;12.32;62;80;15.25
14;"Genoa";12;12;15;13;13.84;12.32;18.18;17.41;-5.1;8.89;8.42;41;52;13.2
15;"Cremonese";11;11;15;11;13.34;11.82;17.85;17.09;-5.27;12.82;11.45;30;86;12.34
16;"Lecce";12;7;15;10;12.92;12.16;17.09;14.81;-2.65;10.98;8.16;51;67;12.62
17;"Parma Calcio 1913";12;8;17;10;11.63;10.87;21.01;19.48;-8.62;14.38;8.96;44;94;11.95
18;"Fiorentina";11;15;17;9;21.21;19.68;17.15;16.39;3.29;10.66;11.38;64;55;17.44
19;"Verona";12;11;19;7;12.5;11.74;13.65;11.94;-0.2;12.03;10.57;54;65;15.3
20;"Pisa";12;3;14;7;13.46;12.7;17.98;16.46;-3.76;12.87;8.51;68;99;12.73
