"number";"team";"matches";"goals";"ga";"points";"xG";"NPxG";"xGA";"NPxGA";"NPxGD";"ppda";"ppda_allowed";"deep";"deep_allowed";"xPTS"
1;"Inter";25;60;21;61;62.32;58.51;21.41;19.89;38.62;8.81;16.18;290;76;57.13
2;"AC Milan";25;41;19;54;46.07;40.74;27.38;22.05;18.7;15.08;15.11;184;129;46.89
3;"Napoli";25;38;25;50;38.77;35.72;29.47;23.37;12.35;11.46;15.04;152;104;40.34
4;"Roma";25;31;16;47;38.95;35.9;28.02;28.02;7.88;8;12.92;222;96;42.99
5;"Juventus";25;43;23;46;47.72;44.54;23.34;21.81;22.73;10.27;16.03;237;106;49.23
6;"Como";25;39;19;42;44.38;39.8;29.18;26.14;13.67;7.54;14.72;159;101;42.44
7;"Atalanta";25;34;21;42;46.48;44.2;34.97;32.57;11.63;11.7;12.79;208;155;43.12
8;"Bologna";25;34;32;33;34.79;31.74;35.71;33.43;-1.69;9.36;11.73;135;123;34.65
9;"Lazio";25;26;25;33;29.65;26.6;35.4;32.35;-5.75;15.66;11.82;112;141;29.06
10;"Sassuolo";25;29;35;32;30.55;28.08;39;35.95;-7.87;14.99;9.71;132;165;31.03
11;"Udinese";25;28;38;32;30.71;27.67;38.31;33.74;-6.07;10.91;9.22;127;125;30.15
12;"Parma Calcio 1913";25;18;31;29;26.65;25.13;42.25;38.44;-13.31;13.19;9.41;103;180;26.77
13;"Cagliari";25;28;35;28;26.61;25.84;41.57;40.81;-14.96;13.73;9.77;86;141;24.97
14;"Torino";25;25;44;27;32.83;28.9;39.74;36.7;-7.79;12.1;11.44;113;173;30.79
15;"Genoa";25;29;37;24;32.35;27.78;39.16;35.36;-7.57;10.22;8.94;85;142;29.19
16;"Cremonese";25;21;33;24;26.58;25.06;46.48;44.06;-19;13.85;10.03;74;201;22.85
17;"Lecce";25;17;31;24;23.49;22.72;41.39;36.82;-14.1;11.53;7.94;84;173;22.71
18;"Fiorentina";25;29;39;21;39.44;34.87;40.34;36.53;-1.66;11.68;11.28;119;152;33.34
19;"Pisa";25;20;42;15;29.51;24.95;45.55;41.75;-16.8;12.7;8.72;115;219;27.22
20;"Verona";25;19;43;15;26.78;24.5;35.96;33.49;-8.99;12.07;9.47;105;140;28.9
